userWallet,num_deposits,total_deposit_usd,num_borrows,total_borrow_usd,num_repays,total_repay_usd,total_withdraw_usd,num_liquidations,repay_to_borrow_ratio,net_contribution_usd,proxy_score,credit_score
0x0009ce45d5df78e632a0b4987079432dfba2253a,1,0.032446847156000054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032446847156000054,500,500
0x000a27ba176083e4b50177378cbe7469a00dd557,4,2.7788499723935907e-10,2.0,1.603863100380374e-10,2.0,1.6022581757470163e-10,2.7687438607237017e-10,0.0,0.9989993381399092,8.501187036531621e-13,587,587
0x000a3d1bef684a7c029267a26068de56b1c1b4dc,18,19326.63909054446,8.0,73.56464165297409,5.0,1.3381494379508397e-08,32743.904255659927,0.0,1.8190116989399358e-10,-13490.82980675506,0,0
0x000ab43e658935ba39504a1424b01756c1e9644c,1,0.1136523793834397,1.0,0.011365237938343969,0.0,0.0,0.0,0.0,0.0,0.10228714144509572,502,502
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,49,273.5115444784605,0.0,0.0,0.0,0.0,347.9684742671587,0.0,0.0,-74.45692978869818,499,503
0x000c8e2871750f458bf1de8ab528dda09bc95db6,1,5480.588573862458,1.0,2366.767191230522,1.0,2366.767191230522,5480.588573862458,0.0,1.0,0.0,803,807
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,20,187.61063040332172,20.0,9.63876514679313e-10,17.0,9.33097790033521e-10,174.35743036205497,0.0,0.9680677719842233,13.25320004123597,625,624
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,4,282.1056376025053,1.0,4.010267633402084e-11,1.0,4.031433339845019e-11,0.0,0.0,1.0052778787796213,282.1056376025055,609,611
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,1,0.0012181088062153706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012181088062153706,500,500
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,1,0.13920558505203293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13920558505203293,500,500
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,1,760.4061861653315,3.0,8.867244790708097e-10,2.0,5.036501564107848e-10,5.022313169970222e-10,0.0,0.5679894581669327,760.4061861644461,623,640
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,6,7053.997334319023,0.0,0.0,0.0,0.0,3355.4134762621043,0.0,0.0,3698.583858056919,967,975
